Cluster ID,sponsor_SPONSOR_CODE,sponsor_SPONSOR_NAME,sponsor_STATE,sponsor_POSTAL_CODE,sponsor_COUNTRY_CODE,rolodex_STATE,rolodex_POSTAL_CODE,rolodex_COUNTRY_CODE,rolodex_ADDRESS_LINE_1,rolodex_ADDRESS_LINE_2,rolodex_ADDRESS_LINE_3,rolodex_CITY,sponsor_DUN_AND_BRADSTREET_NUMBER
312,000028,DHHS-Substance Abuse and Mental Health Services Administration,MD,20857,USA,MD,20850-4084,USA,1 Choke Cherry,,,Rockville,
313,000029,"Center for Substance Abuse Prevention, SAMHSA",DC,20857,USA,MD,20857-0000,USA,"Rockwall Bldg II, Room 630",,,Rockville,
314,000030,"Center for Substance Abuse Treatment, SAMHSA",MD,20857,USA,MD,20850-4084,USA,1 Choke Cherry Road,,,Rockville,
315,000031,Center for Mental Health Services,DC,20201,USA,,20201-0004,USA,200 Independence Avenue SW,,,"Washington, DC",
316,000032,DHHS-Health Resources and Services Administration,MD,20857,USA,MD,20857-0002,USA,5600 Fishers Lane,,,Rockville,807857581
317,000033,HRSA-Div of Dental Health Prof,MD,20857,USA,MD,20857-0002,USA,5600 Fishers Lane,,,Rockville,
318,000034,HRSA-BHP-Division of Nursing,MD,20857,USA,MD,20857-0002,USA,5600 Fishers Lane,,,Rockville,
319,000035,HRSA- AIDS Reg. and Education Center,MD,20857,USA,MD,20857-0002,USA,5600 Fishers Lane,,,Rockville,
320,000036,HRSA Bureau of Health Care Delivery,MD,20857,USA,MD,20857-0002,USA,5600 Fishers Lane,,,Rockville,
321,000037,DO NOT USE Health Resources and Services Administration (HRSA),MD,20892,USA,MD,20892-0001,USA,Building 31 Room B1B05A,9000 Rockville Pike,,Bethesda,
322,000038,HRSA-Bur/Maternal & Child Hlth,MD,20857,USA,MD,20857-0002,USA,5600 Fishers Lane,,,Rockville,
323,000039,"Office of Public Health and Science, DHHS",DC,20201,USA,,20201-0004,USA,"200 Independence Avenue, S.W.",,,"Washington, DC",
324,000040,"Office of Population Affairs, DHHS",DC,20201,USA,,20201-0004,USA,"200 Independence Avenue, S.W.",,,"Washington, DC",
325,000041,Office of Adolescent Pregnancy Programs,DC,20201,USA,,20201-0004,USA,200 Independence Ave SW,,,"Washington, DC",
326,000042,National Adoption Information Clearinghouse,DC,20005,USA,,20005-2208,USA,1400 I St NW,,,"Washington, DC",
327,000043,Centers for Disease Control and Prevention,GA,30329-4018,USA,GA,30329-4018,USA,1600 Clifton Rd,,,Atlanta,
1,000044,CDC-National Institute for Occupational Safety and Health,MD,20892,USA,MD,20892-0001,USA,Building 31 Room B1B05A,9000 Rockville Pike,,Bethesda,
328,000045,"CDC Division of Nutrition, Physical Activity, and Obesity",GA,30333,USA,GA,30329-4018,USA,1600 Clifton Rd.,,,Atlanta,
329,000046,Navajo Area Indian Health Service,AZ,86515-9020,USA,AZ,86515-9020,USA,P.O. Box 9020,,,Window Rock,
330,000048,DHHS-Agency for Healthcare Research and Quality,MD,20852,USA,MD,20852-4908,USA,2101 East Jefferson Street,,,Rockville,
331,000049,National Vaccine Program Office,MD,20897,,MD,20897,,"Parklawn Building, Room 13A-53",,,Rockville,
332,000050,DHHS-Center for Medicare and Medicaid Services,MD,20892,USA,MD,21244-1849,USA,"7500 Security Blvd, Ste C51916",,,Baltimore,112263632
333,000051,Food & Drug Administration,MD,20852-1740,USA,MD,20852-1740,USA,12420 Parklawn Drive/Room 3-32,,,Rockville,
334,000052,DHHS-Administration for Children and Families,DC,20447,USA,,20447-0000,USA,"370 L'Enfant Promenade, S.W.",,,"Washington, DC",
335,000053,Agency for Toxic Substances and Disease Registry,GA,30333,USA,GA,30329-4018,USA,1600 Clifton Road/MS E-29,,,Atlanta,
336,000054,U.S. Admin on Aging,DC,20201,USA,DC,20201-0002,USA,330 Independence Avenue,,,Washington,
14,000055,US Department of Education,DC,20202,USA,,20201-4607,USA,400 Maryland Avenue  SW,,,"Washington, DC",787793884
337,000056,"NIH-National Institute on Disability, Independent Living, & Rehabilitation Research",DC,20202-2700,USA,,20202-2700,USA,Potomac Center Building,"550 12 St., SW",,"Washington, DC",
60,000057,US Department of Commerce,DC,20230,USA,,20230-0001,USA,1401 Constitution Ave NW,,,"Washington, DC",
338,000058,National Marine Fisheries Service,MD,20910,USA,MD,20910-3225,USA,1335 East-West Highway,,,Silver Spring,
339,000059,National Institute of Standards and Technology,MD,20899,USA,MD,20899-0003,USA,100 Bureau Dr,,,Gaithersburg,
340,000060,National Oceanic and Atmospheric Administration,MD,20910,USA,MD,20910-5644,USA,1100 Wayne Ave/Suite 1210,,,Silver Spring,
341,000061,Bureau of Census,DC,20233,USA,,20018-1075,USA,Washington Plaza 433,,,"Washington, DC",
342,000062,Department of the Interior,DC,20240,USA,,20240-0001,USA,1849 C St NW,,,"Washington, DC",
343,000063,National Park Services,DC,20005,USA,,20005-5905,USA,1201 Eye St NW/6th Flr (2255),,,"Washington, DC",
344,000065,Occupational Safety and Health Administration,PA,19104,USA,PA,19104-3371,USA,3535 Market Street,,,Philadelphia,
15,000066,US Department of Defense,DC,20301-1400,USA,,20301-1400,USA,1400 Defense Pentagon,,,"Washington, DC",
345,000068,Defense Advanced Research Projects Agency,VA,22203-2114,USA,VA,22203-2114,USA,675 North Randolph Street,,,Arlington,
346,000069,Armed Forces Radiobiology Research Institute,MD,20889-5603,USA,MD,20889-5603,USA,"8901 Wisconsin Avenue, Building 42",,,Bethesda,
347,000070,Armed Forces Inst of Pathology  - CLOSED Sept 2011 per NLM/NIH website,,20306,,,20306,,American Registry of Pathology,,,"Washington, DC",
348,000071,Defense Advance Research - DUPLICATE - USE 000068,,22209,,,22209,,1400 Wilson Blvd.,,,Arlington,
349,000072,Defense Supply Service,DC,20310,USA,,20310,,"Pentagon, Room 1D245",,,"Washington, DC",
350,000074,US Army Medical Research & Materiel Command,MD,21702-9218,USA,MD,21702-9218,USA,Army/TATRC MCMR-AT,504 Scott Street,Fort Detrick,Fort Detrick,
351,000075,Walter Reed Army Institute of Research,MD,20910,USA,MD,20910-7500,USA,503 Robert Grant Avenue,,,Silver Spring,129615428
352,000076,"USArm Armament,Muni,Chem Comm",,,,,,,,,,"Aberdeen,",
353,000077,US Army Research Office,NC,27709-2211,USA,NC,27709-2211,USA,P.O. Box 12211,,,Research Triangle Park,
354,000078,US Army CERDEC,MD,21010,USA,MD,21010-5400,USA,Aberdeen Proving Ground,,,Aberdeen,
355,000079,US Army Medical Department Fort Belvoir,VA,22060,USA,VA,22060-0000,USA,,,,Fort Belvoir,
356,000080,US Military Academy,NY,10996,USA,NY,10996-1900,USA,626 Swift Rd,,,West Point,
357,000081,"Army Contracting / Wiesbaden, Germany",,,,,,,REGIONAL CONTRACTING CENTER,,,"WEISBADEN, GERMANY",
79,000083,Naval Medical Research Center,MD,20910,USA,MD,20910-7500,USA,503 Robert Grant Avenue,,,Silver Spring,
358,000084,Office of Naval Research,GA,30303,USA,GA,30303-8704,USA,100 Alabama St NW Suite 4R15,,,Atlanta,
18,000085,US. Naval Academy   - DUPLICATE - USE # 000091,,21402     ,,,21402,,181 Wainwright Road,,,Annapolis,
359,000086,US Naval Medical Research Unit #3,,,EGY,,,EGY,FPO,,,Cairo,
360,000087,DO NOT USE:  Naval Medical Research Center,MD,20910,USA,MD,20910-7500,USA,503 Robert Grant Avenue,,,Silver Spring,
361,000088,Naval Research Laboratory,DC,20375,USA,DC,20375-0000,USA,4555 Overlook Ave SW,,,Washington,
362,000089,Naval Surface Warfare Center,DC,20376,USA,DC,20376-0000,USA,,,,Washington,
363,000090,Naval Ordnance Station,MD,20640,,MD,20640,,Indian Head,,,Indian Head,
18,000091,US Naval Academy,MD,21402,USA,MD,21402-1236,USA,181 Wainwright Road,,,Annapolis,
364,000092,"Carderock Division, Naval Surface Warfare Center",MD,20817,USA,MD,20817-5700,USA,9500 MacArthur Boulevard,,,Bethesda,
22,000093,Air Force Office of Scientific Research,VA,22203,USA,VA,22203-1986,USA,"875 North Randolph Street, Room 3112, suite 3",,,Arlington,
365,000094,US Air Force Academy Research,CO,80840-6200,USA,CO,80840-6200,USA,"2354 Fairchild Drive, Suite 2H29",,,USAFA,
366,000095,US Air Force Armstrong Labs.,TX,78235,USA,TX,78235-0000,USA,Brooks Air Force Base,,,San Antonio,
367,000096,"Air Force Research Laboratory, Rome Laboratory",NY,13441-4514,USA,NY,13441-4514,USA,Griffiss AFB,26 Electronic Parkway,,Rome,
368,000097,"Department of Veteran Affairs, Palo Alto",CA,94304,USA,CA,94304-1207,USA,3801 Miranda Ave.,,,Palo Alto,
369,000098,VA Maryland Health Care System,MD,21201,USA,MD,21201-1524,USA,Research Service,10 N. Greene Street,,Baltimore,
370,000099,Perry Point VA Medical Center,MD,21902,USA,MD,21902-0000,USA,Broad Street,,,Perry Point,
371,000100,West Haven VA Medical Center,CT,06516,USA,CT,06516-2770,USA,950 Campbell Avenue,,,West Haven,
372,000101,Philadelphia Veterans Affairs,PA,19104,USA,PA,19104-0000,USA,38th & Woodlawn,,,Philadelphia,
373,000102,VA Headquarters,DC,20420,USA,,20420-0001,USA,810 Vermont Ave  NW/Room 834,,,"Washington, DC",
374,000103,Pittsburgh VA Medical Center,PA,15240,USA,PA,15240-0000,USA,University Drive C,,,Pittsburgh,
375,000104,West Virginia VA Medical Ctr,VA,25401,USA,VA,25401-0000,USA,Route 9  B500 Room 2B-116,,,Martinsburg,
376,000105,DUPLICATE DO NOT USE Memphis Dept of VAMC,TN,38104,USA,TN,38104-2127,USA,1030 Jefferson Ave/Room BC129,,,Memphis,
377,000106,US Senate Committee on Veterans' Affairs,DC,20510-6050,USA,,20510-6050,USA,Russell Senate Building - Room 412,,,"Washington, DC",
378,000107,National Guard Bureau,,21010,,,21010,,Bldg. E. 6810,,,Aberdeen Proving Gd.,
379,000108,Department of the Treasury,DC,20220,USA,,20220-0002,USA,"1500 Pennsylvania Avenue, NW",,,"Washington, DC",
380,000109,Internal Revenue Service - Maryland Offices,MD,20706,USA,MD,20706-1348,USA,5000 Ellin Road/Room C7-171,,,Lanham,
14,000110,US Department of Energy,DC,20545,USA,,20585-0001,USA,1000 Independence Ave.  SW,,,"Washington, DC",
381,000111,US Department of Housing and Urban Development,DC,20410,USA,,20410-0001,USA,451 7th Street SW/Room 7255,,,"Washington, DC",
382,000112,US Department of Justice,DC,20531,USA,,20004-2908,USA,633 Indiana Avenue,,,"Washington, DC",
383,000113,US District Court of Maryland,MD,21201,USA,MD,21201-2605,USA,101 West Lombard Street,,,Baltimore,
26,000114,National Institute of Justice,DC,20531,USA,,20004-2908,USA,633 Indiana Ave.  N.W. Rm. 911,,,"Washington, DC",
384,000115,US Department of Agriculture,DC,20037,USA,,20037-1801,USA,2121 K Street  NW,,,"Washington, DC",
385,000116,National Research Initiative Competitive Grants Program,DC,20250,USA,,20250-0000,USA,Co-op Research Rm 303 USDA,,,"Washington, DC",
386,000117,US Department of Labor,DC,20210,USA,,20210-0001,USA,Frances Perkins Building,200 Constitution Avenue NW,,"Washington, DC",
387,000118,US Department of State,DC,,USA,,,,U.S. Embassy,,,Cairo    Egypt,
388,000119,US Information Agency,DC,20547,USA,,20547,,301 4TH ST..S.W. ROOM 247,,,"Washington, DC",
389,000120,US Department of State Office of Medical Services,DC,20522,USA,,20002-4831,USA,2401 E Street  NW,,,"Washington, DC",
390,000121,US Egypt S/T Joint Board Pro   DUPLICATE - USE # 001299,,,EGY,,,EGY,"Unit 64900, Box 6 APO AE 09839",,,Cairo,
27,000122,US Department of Transportation,DC,20590,USA,,20590-0001,USA,"1200 New Jersey Ave, SE",,,"Washington, DC",
391,000123,OTHER FEDERAL,,,,,,,,,,,
392,000124,Corporation for National and Community Service - DUPLICATE #001562,,,,,,,529 14th Street,,,"Washington, DC",
393,000125,AmeriCorps/VISTA,DC,20525,USA,,20005-3917,USA,"1201 New York Ave., N. W.",,,"Washington, DC",
394,000126,Learn/Serve Amer: Higher Educ   program of 0001562 Corp for Natl & Comm Serv,,20525,,,20525,,"1100 Vermont Avenue, NW/Box HE",,,"Washington, DC",
395,000127,National Council on Disabilities,DC,20004,USA,,20004-1162,USA,"1331 F Street,NW/Suite 1050",,,"Washington, DC",
396,000128,National Science Foundation,DC,22230,USA,VA,22230-1859,USA,4201 Wilson Blvd.,,,Arlington,
397,000129,Environmental Protection Agency,DC,20460,USA,,20001-4607,USA,401 M Street NW,,,"Washington, DC",
398,000130,Equal Employment Opportunity Commission,DC,20507,USA,,20002-4831,USA,"2401 E Street, N.W.",,,"Washington, DC",
399,000131,National Aeronautics and Space Administration,DC,20546-0001,USA,,20546-0001,USA,NASA Headquarters,,,"Washington, DC",
400,000132,National Endowment for the Humanities,DC,20506,USA,DC,20004-2501,USA,1100 Pennsylvania Avenue,,,Washington,
401,000133,Central Intelligence Agency,VA,22101,USA,VA,22101,USA,1000 Colonial Farm Rd,,,McLean,
402,000134,US Federal Trade Commission,DC,20580,USA,,20580-0000,USA,600 Penn Avenue  NW/Room 774,,,"Washington, DC",
403,000135,National Endowment for the Arts,DC,20506,USA,DC,20004-2501,USA,"1100 Pennsylvania Ave, NW",,,Washington,
404,000136,US Agency for International Development,DC,20523,USA,,20523-0000,USA,"705, SA-18, AID",,,"Washington, DC",
405,000137,US Institute of Peace,DC,20037,USA,,20037-2900,USA,2301 Constitution Ave NW,,,"Washington, DC",
406,000138,Federal Aviation Administration,DC,20591,USA,,20553-0001,USA,"800 Independence Avenue, SW",,,"Washington, DC",
407,000139,Social Security Administration,MD,21235-0001,USA,MD,21235-0001,USA,6401 Security Blvd.,,,Baltimore,
408,000140,Medicare Payment Advisory Commission,DC,20037,USA,,20037-1534,USA,"2120 L Street, NW, Suite 510",,,"Washington, DC",
409,000143,STMD-Maryland Department of Health,MD,21201,USA,MD,21201-2301,USA,201 West Preston Street,,,Baltimore,967509576
410,000144,Rosewood Center,MD,21117,USA,MD,21117-3709,USA,200 Rosewood Ln,,,Owings Mills,
411,000145,Walter P Carter Center,MD,21201,USA,MD,21201-2225,USA,1100 N. Eutaw St.,,,Baltimore,
412,000146,Maryland LEAD Center,,,,,,,,,,"Centreville,",
413,000147,Maryland Board of Nursing,MD,21215,USA,MD,21215-2254,USA,4140 Patterson Avenue,,,Baltimore,
414,000148,Maryland Board of Spinal Cord Injury,MD,21201,USA,MD,21201-2301,USA,201 West Preston St/Room 300,,,Baltimore,
415,000149,Eastern Shore Area Health Education Center,MD,21613-9408,USA,MD,216139408,USA,PO Box 795,814 Chesapeake Drive,,Cambridge,
416,000150,Western MD Area Hlth Educ Ctr  - DUPLICATE OF # 003553,MD,21502,USA,MD,21502-1617,USA,11 Columbia St,Columbia Bldg.,,Cumberland,
417,000151,Governor's Council on Adolescent Pregnancy,MD,21201,USA,MD,21201-3501,USA,311 West Saratoga Street,,,Baltimore,
418,000152,Governor's Office-Children's Trust Fund,MD,21201,USA,MD,21201-2305,USA,301 West Preston St/Room 1502,,,Baltimore,
419,000153,Governor's Employment/Training,MD,21201,,MD,21201,,1100 North Eutaw St/Room 600,,,Baltimore,
420,000154,Maryland State Drug and Alcohol Abuse Council,MD,21228,USA,MD,21228-4663,USA,55 Wade Avenue,,,Catonsville,
421,000155,STMD-Health Services Cost Review Commission,MD,21215,USA,MD,21215-2254,USA,4160 Patterson Avenue,,,Baltimore,
422,000156,Governor's/Reform Initiatives,MD,21201,,MD,21201,,300 W. Lexington St/Suite 306,,,Baltimore,
423,000157,Governor's Commission on Service and Volunteerism,MD,21201,USA,MD,21201-2305,USA,301 West Preston St/15th Floor,,,Baltimore,
424,000158,STMD-Maryland Department of Transportation,MD,21076,USA,MD,21076-1415,USA,7201 Corporate Center Drive P.O. Box 548,,,Hanover,
425,000159,STMD-Maryland Transit Administration,MD,21202,USA,MD,21202-6806,USA,6 St. Paul Street/12th Floor,,,Baltimore,878137462
32,000160,STMD-Maryland Department of Business and Economic Development,MD,21202,USA,MD,21202-3117,USA,401 East Pratt Street,,,Baltimore,119228588
426,000161,STMD-Maryland State Arts Council,MD,21201,USA,MD,21201-4406,USA,15 W. Mulberry St.,,,Baltimore,
427,000162,STMD-Maryland Department of Public Safety & Correctional Services,MD,21215,USA,MD,21215-2346,USA,6776 Reisterstown Road,,,Baltimore,
33,000163,STMD-Maryland Department of Aging,MD,21201,USA,MD,21201-2305,USA,301 West Preston Street,Suite 1007,,Baltimore,
428,000164,STMD-Governor's Office for Children,MD,21201,USA,MD,21201-2305,USA,"301 W.Preston St., Suite 1502",,,Baltimore,
429,000165,Maryland Commission on Infant Mortality,MD,21201,USA,MD,21201-3418,USA,300 W. Lexington Street,,,Baltimore,
430,000166,DO NOT USE -MD Department of Education,,,,,,,,,,,
431,000167,Maryland Infants and Toddlers Program,MD,21201,USA,MD,21201-2549,USA,200 West Baltimore Street,,,Baltimore,
432,000168,STMD-Maryland Department of Housing and Community Development,MD,21032,USA,MD,21032-2023,USA,100 Community Place,,,Crownsville,
433,000169,Maryland Historical Trust,MD,21032,USA,MD,21032-2022,USA,"100 Community Place, 3rd Floor",,,Crownsville,
434,000190,Maryland Health Service Cost Rev Com,,,,,,,,,,,
435,000191,STMD-Maryland Department of Budget & Management,MD,21401,USA,MD,21401-1994,USA,45 Calvert Street,,,Annapolis,
436,000192,STMD-Maryland Department of Human Services,MD,21201-3500,USA,MD,21201-3500,USA,311 West Saratoga Street,,,Baltimore,
437,000193,Income Maintenance Adm (IMA)    CLOSED 1996,,,,,,,,,,,
438,000194,STMD-Maryland Emergency Management Agency,MD,21136,USA,MD,21136-4541,USA,5401 Rue Saint Lo Drive,,,Reistertown,
439,000195,STMD-Maryland Department of Natural Resources,MD,21401,USA,MD,21401-2352,USA,580 Taylor Avenue,,,Annapolis,
440,000196,Maryland Office of Personnel Services and Benefits,MD,21201,USA,MD,21201-2305,USA,Department of Management and Budget,301 West Preston Street,,Baltimore,
441,000197,Maryland Office for Refugees and Asylees,MD,21201-3521,USA,MD,21201-3521,USA,"Family Investment Administration, DHR",311 W. Saratoga Street,,Baltimore,
442,000198,Maryland Office of the Chief Medical Examiner,MD,21223-2595,USA,MD,21223-2595,USA,900 West Baltimore Street,,,Baltimore,
443,000199,STMD-Maryland Higher Education Commission,MD,21201,USA,MD,21201-3705,USA,6 North Liberty Street,,,Baltimore,
444,000200,Commission on Aging and Retirement Education,MD,21202,USA,MD,21202-3431,USA,"417 E. Fayette Street, 6th Floor",,,Baltimore,
445,000201,STMD-Maryland Department of Juvenile Services,MD,21201,USA,MD,21201-3741,USA,"One Center Plaza, 120 W. Fayette St",,,Baltimore,
446,000202,Maryland Juvenile Justice Advisory Council,MD,21201,USA,MD,21201-2305,USA,301 West Preston St/15th Floor,,,Baltimore,
447,000203,STMD-Maryland Energy Administration,MD,21401,USA,MD,21401-1994,USA,45 Calvert Street,,,Annapolis,
448,000204,MD Department of Public Safety and  Correctional Services DUPLICATE #000162,,,,,,,,,,,
449,000205,STMD-Maryland State Police Headquarters,MD,21208,USA,MD,21208-3802,USA,Office of the Superintendent,1201 Reisterstown Road,,Pikesville,
450,000206,STMD-Maryland Division of Parole & Probation,MD,21215,USA,MD,21215-2310,USA,6776 Reisterstown Rd/Suite 305,,,Baltimore,
451,000207,STMD-Maryland State Department of Education,MD,21201,USA,MD,21201-2549,USA,200 West Baltimore Street,,,Baltimore,
452,000208,STMD-Maryland Technology Development Corporation,MD,21044,USA,MD,21046-2967,USA,7021 Columbia Gateway Drive,Suite 200,,Columbia,
453,000209,Maryland Dept of Economic/Employment,MD,21202,USA,MD,21202-3316,USA,217 E. Redwood St.  11th Floor,,,Baltimore,
454,000210,Maryland Dept of Employ/Social Svs,,,,,,,,,,Baltimore,
455,000211,STMD-Maryland Department of the Environment,MD,21230,USA,MD,21230-1701,USA,1800 Washington Boulevard,,,Baltimore,
33,000212,STMD-Maryland Department of Agriculture,MD,21401,USA,MD,21401-8960,USA,50 Harry S. Truman Pkwy,,,Annapolis,
456,000213,"STMD-Maryland Department of Labor, Licensing & Regulation",MD,21202,USA,MD,21202-3659,USA,500 North Calvert Street #401,,,Baltimore,
457,000214,STMD-Maryland Judiciary System,MD,21401,USA,MD,21401-2352,USA,Administrative Office of the Courts,580 Taylor Ave.,,Annapolis,
458,000215,Maryland Department of General Services,MD,21201,USA,MD,21201-2305,USA,301 West Preston Street,,,Baltimore,
459,000216,Maryland Procurement Office,MD,20755,USA,MD,20755-5999,USA,9800 Savage Road,,,Fort George Meade,
460,000217,Maryland Bureau of Justice Assistance,MD,21286-3016,USA,MD,21286-3016,USA,300 East Joppa Road Ste. 1105,,,Towson,
461,000218,STMD-Maryland Health Care Commission,MD,21215,USA,MD,21215-2254,USA,4160 Patterson Avenue,,,Baltimore,
462,000219,Center for Infant and Child Loss,MD,21201,USA,MD,21201-1642,USA,"110 South Paca Street, 6th Floor",Suite 300,,Baltimore,
463,000221,Delaware Department of Human Resources,DE,19805,USA,DE,19805-1121,USA,1825 Faulkland Road,,,Wilmington,
464,000222,Delaware Division of Public Health,DE,19901,USA,DE,19901-3635,USA,417 Federal St,,,Dover,
465,000223,District of Columbia Govt,DC,20002,USA,,20002-4232,USA,801 North Capitol NE,,,"Washington, DC",
466,000225,Pennsylvania Department of Public Welfare,PA,17105,USA,PA,17105-2675,USA,P.O. Box 2675,,,Harrisburg,
467,000226,Pennsylvania Office of Mental Retardation,PA,19130,USA,PA,19130-4007,USA,1400 Spring Garden Street,,,Philadelphia,
468,000227,State of New York,NY,,USA,NY,,,,,,,
469,000228,NY State Department of Health,NY,12201,USA,NY,12201-0000,USA,Wadsworth Center,,,Albany,
470,000230,North Carolina DHHS,NC,27699,USA,NC,27699-1900,USA,1912 Mail Services Center,,,Raleigh,
471,000232,Ohio Dept of Mental Health,OH,43215,USA,OH,43215-3414,USA,"30 East Broad St., Suite 1340",,,Columbus,
472,000233,State of Washington,,,,,,,,,,,
473,000234,Washington State/Hlth Services,WA,98155,USA,WA,98155-0000,USA,1602 NE 150th Street,,,Seattle,
474,000236,Arkansas Department of Health,AR,72205,USA,AR,72205-3866,USA,4815 West Markham St/Slot 45,,,Little Rock,
475,000239,Baltimore County Public Schools,MD,21204-3792,USA,MD,21204-3792,USA,6901 North Charles Street,,,Baltimore,
476,000240,Baltimore County Commission On Arts and Sciences,MD,21204,USA,MD,21204-4606,USA,400 Washington Ave,,,Towson,
477,000241,Baltimore County Health Department,MD,21204,USA,MD,21204-4804,USA,401 Washington Ave/Suite 300,,,Towson,
478,000242,Baltimore County Government,,21202,,,21202,,417 East Fayette Street,,,Baltimore,
39,000243,Baltimore County Department of Social Services,MD,21212,USA,MD,21212-2152,USA,6401 York Road,,,Baltimore,
479,000244,"Anne Arundel County, MD",MD,21404,USA,MD,21404-2700,USA,P.O. Box 2700,,,Annapolis,
480,000246,Dorchester County Public Schools,MD,21613-1738,USA,MD,21613-1738,USA,700 Glasgow St,,,Cambridge,
481,000247,Dorchester County Health Dept,MD,21613,USA,MD,21613-9404,USA,751 Woods Road,,,Cambridge,
482,000249,Queen Anne's County Board of Education,MD,21617,USA,MD,21617-1308,USA,202 Chesterfield Avenue,,,Centerville,
483,000251,Washington County-Board of ED/Publc School System,MD,21741,USA,MD,21740-6836,USA,"820 Commonwealth Ave, Box 730",,,Hagerstown,
484,000253,Caroline County Department of Education,MD,21629,USA,MD,21629-1035,USA,112 Market Street,,,Denton,
